"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Admin Panel","0","Account Management","1","0","Open New Bank Account","0"
"0","Customer Portal","0","Customer Authentication","1","0","Customer Login","0"
"0","Admin Panel","0","Admin Authentication","1","0","Admin Login Navigation","0"
"0","Customer Portal","1","Fund Management","0","0","Deposit Funds","0"
"0","Customer Portal","1","Transaction History","0","0","Reset Transaction History","0"
"0","Admin Panel","1","Customer Management","0","0","Delete Customer Account","0"
"0","Admin Panel","1","Customer Management","0","0","Register Customer Input Validation - Numeric First Name","0"
"0","Admin Panel","0","Customer Management","1","0","Register New Customer","0"
"0","Customer Portal","1","Fund Management","0","0","Withdraw Funds","0"
"0","Admin Panel","0","Customer Management","1","0","Search Customer by Name","0"
"0","Customer Portal","1","Transaction History","0","0","View Transaction History","0"
"0","Admin Panel","1","Customer Management","0","0","Register Customer Input Validation - Alphabetic Postcode","0"
"0","Admin Panel","0","Customer Management","1","0","View Customer List","0"
